id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,I only have half an hour. What can I make for dinner?
5,Gluten-free breakfast recipe
6,Italian pasta dish for 10 people
7,Snacks for kids
8,I'm hungry
9,High-protien lunchboxes
10,VEGAN birthday cake recipes
11,What can i maek with pasta, broccoli, spinach, tomatoes, and beef. I just moved in so I don't have any spices
12,how do i make ice cream?
13,dinner to impress my new girlfriend